length(mm),swing(rad),up_down(rad),FR(N),FL(N),RR(N),RL(N),External_force(N),Time(sec)
837.27784,-0.54391508,-0.78539816,52644.87,50906.638,32913.514,31559.279,0,18.960121
837.27784,-0.56201043,-0.78539816,52801.511,50962.014,33118.587,31679.374,0,19.040121
837.27784,-0.58022158,-0.78539816,52832.882,50887.64,33203.244,31676.245,0,19.120121
837.27784,-0.59853888,-0.78539816,52716.801,50650.467,33162.316,31549.877,0,19.200121
837.27784,-0.61695267,-0.78539816,52652.619,50484.445,33163.383,31468.889,0,19.280121
837.27784,-0.63545331,-0.78539816,52748.203,50470.279,33338.198,31551.09,0,19.360121
837.27784,-0.65403114,-0.78539816,52903.283,50517.514,33534.039,31662.743,0,19.440121
837.27784,-0.67267651,-0.78539816,52886.269,50399.922,33585.775,31643.7,0,19.520121
837.27784,-0.69137977,-0.78539816,52753.179,50159.777,33548.556,31521.911,0,19.600121
837.27784,-0.71013128,-0.78539816,52717.3,50022.616,33588.786,31474.671,0,19.680121
837.27784,-0.72892137,-0.78539816,52829.113,50029.997,33776.258,31586.073,0,19.760121
837.27784,-0.7477404,-0.78539816,52932.787,50050.378,33957.478,31693.97,0,19.840121
837.27784,-0.76657872,-0.78539816,52883.706,49894.35,33992.101,31647.379,0,19.920121
837.27784,-0.78542667,-0.78539816,52751.299,49665.141,33958.654,31536.532,0,20.000121
837.27784,-0.80427461,-0.78539816,52731.139,49550.185,34029.069,31532.07,0,20.080121
837.27784,-0.82311289,-0.78539816,52851.446,49592.718,34235.541,31663.759,0,20.160121
837.27784,-0.84193185,-0.78539816,52918.04,49573.621,34384.118,31750.239,0,20.240121
837.27784,-0.86072184,-0.78539816,52819.865,49386.11,34400.638,31686.579,0,20.320121
837.27784,-0.87947321,-0.78539816,52698.808,49185.805,34382.68,31604.028,0,20.400121
837.27784,-0.89817631,-0.78539816,52710.903,49115.678,34495.282,31647.598,0,20.480121
837.27784,-0.91682149,-0.78539816,52813.051,49140.463,34682.572,31775.7,0,20.560121
837.27784,-0.9353991,-0.78539816,52830.981,49079.798,34800.723,31829.513,0,20.640121
837.27784,-0.95389949,-0.78539816,52726.559,48899.051,34806.325,31767.012,0,20.720121
837.27784,-0.97231301,-0.78539816,52632.293,48727.902,34823.158,31728.609,0,20.800121
837.27784,-0.99063,-0.78539816,52636.977,48685.419,34938.542,31801.611,0,20.880121
837.27784,-1.0088408,-0.78539816,52716.346,48689.395,35112.359,31907.855,0,20.960121
837.27784,-1.0269358,-0.78539816,52707.453,48615.417,35215.175,31953.889,0,21.040121
837.27784,-1.0449053,-0.78539816,52603.476,48453.214,35212.96,31904.455,0,21.120121
837.27784,-1.0627397,-0.78539816,52487.631,48294.223,35239.2,31880.084,0,21.200121
837.27784,-1.0804293,-0.78539816,52513.832,48271.512,35361.384,31967.31,0,21.280121
837.27784,-1.0979645,-0.78539816,52574.815,48277.582,35531.173,32084.645,0,21.360121
837.27784,-1.1153356,-0.78539816,52546.929,48180.436,35608.172,32105.992,0,21.440121
837.27784,-1.1325329,-0.78539816,52412.578,48025.952,35586.249,32062.362,0,21.520121
837.27784,-1.1495469,-0.78539816,52336.545,47898.337,35630.77,32067.383,0,21.600121
837.27784,-1.1663679,-0.78539816,52364.951,47891.911,35775.517,32171.053,0,21.680121
837.27784,-1.1829861,-0.78539816,52404.841,47901.821,35913.828,32277.339,0,21.760121
837.27784,-1.199392,-0.78539816,52335.244,47791.673,35956.647,32287.42,0,21.840121
837.27784,-1.215576,-0.78539816,52212.797,47633.835,35939.932,32243.243,0,21.920121
837.27784,-1.2315283,-0.78539816,52158.469,47556.04,35998.874,32273.732,0,22.000121
837.27784,-1.2472393,-0.78539816,52184.457,47573.377,36131.984,32391.562,0,22.080121
837.27784,-1.2626993,-0.78539816,52193.706,47549.372,36245.762,32477.267,0,22.160121
837.27784,-1.2778988,-0.78539816,52110.639,47433.647,36262.774,32461.627,0,22.240121
837.27784,-1.2928281,-0.78539816,51997.938,47300.629,36268.534,32448.699,0,22.320121
837.27784,-1.3074774,-0.78539816,51963.187,47264.25,36339.955,32511.426,0,22.400121
837.27784,-1.3218372,-0.78539816,51990.513,47278.797,36456.168,32609.816,0,22.480121
837.27784,-1.3358978,-0.78539816,51960.391,47230.692,36532.358,32663.845,0,22.560121
837.27784,-1.3496496,-0.78539816,51868.962,47120.874,36547.916,32662.442,0,22.640121
837.27784,-1.3630828,-0.78539816,51792.053,47042.328,36552.692,32662.644,0,22.720121
837.27784,-1.3761879,-0.78539816,51775.755,47013.654,36632.017,32738.514,0,22.800121
837.27784,-1.3889553,-0.78539816,51784.659,47017.504,36734.231,32819.941,0,22.880121
837.27784,-1.4013751,-0.78539816,51741.069,46963.342,36779.057,32854.321,0,22.960121
837.27784,-1.4134379,-0.78539816,51652.548,46875.665,36771.314,32846.617,0,23.040121
837.27784,-1.4251339,-0.78539816,51594.346,46815.692,36812.458,32879.563,0,23.120121
837.27784,-1.4364535,-0.78539816,51583.669,46802.523,36884.129,32947.2,0,23.200121
837.27784,-1.4473871,-0.78539816,51578.413,46793.89,36944.704,33003.83,0,23.280121
837.27784,-1.4579249,-0.78539816,51518.944,46741.394,36964.814,33024.02,0,23.360121
837.27784,-1.4680574,-0.78539816,51445.486,46664.2,36975.716,33028.416,0,23.440121
837.27784,-1.4777749,-0.78539816,51404.587,46632.604,37010.385,33062.717,0,23.520121
837.27784,-1.4870678,-0.78539816,51415.816,46653.61,37078.211,33133.118,0,23.600121
837.27784,-1.4959263,-0.78539816,51404.111,46638.378,37135.818,33191.196,0,23.680121
837.27784,-1.5043409,-0.78539816,51340.459,46578.515,37133.007,33189.215,0,23.760121
837.27784,-1.5123018,-0.78539816,51264.471,46505.212,37119.214,33175.463,0,23.840121
837.27784,-1.5197995,-0.78539816,51239.215,46488.955,37159.554,33217.785,0,23.920121
837.27784,-1.5268243,-0.78539816,51262.31,46518.922,37228.355,33289.499,0,24.000121
